구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,평균
2000년02월03일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월04일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월05일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월06일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월07일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월08일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월09일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월10일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월11일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월12일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월13일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월14일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월15일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월16일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월17일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월18일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월19일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월20일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월21일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월22일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월23일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월24일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월25일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월26일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월27일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월28일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년02월29일,1226.76,1199.35,1192.29,1222.05,1211.17,1186.54,1195.3,1215.6,1227.31,1202.18,1226.53,1201.61,1216.78,1211.85,1208.85,1237.9,NaN,1211.379375
2000년03월01일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월02일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월03일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월04일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월05일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월06일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월07일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월08일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월09일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월10일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월11일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월12일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월13일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월14일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월15일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월16일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월17일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월18일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월19일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월20일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월21일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월22일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월23일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월24일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월25일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월26일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월27일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월28일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월29일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월30일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년03월31일,1225.63,1196.22,1196.7,1220.31,1203.25,1190.82,1202.05,1213.11,1228.32,1198.87,1222.75,1205.33,1211.06,1209.94,1206.4,1238.25,NaN,1210.5631250000001
2000년04월01일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월02일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월03일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월04일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월05일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월06일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월07일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월08일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월09일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월10일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월11일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월12일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월13일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월14일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월15일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월16일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월17일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월18일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월19일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월20일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월21일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월22일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월23일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월24일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월25일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월26일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월27일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월28일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월29일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년04월30일,1201.18,1187.88,1178.83,1199.34,1182.23,1154.48,1186.5,1193.12,1207.51,1176.02,1199.08,1185.83,1180.87,1184.06,1183.73,1213.81,NaN,1188.404375
2000년05월01일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월02일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월03일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월04일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월05일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월06일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월07일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월08일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월09일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월10일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월11일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월12일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월13일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월14일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월15일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월16일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
2000년05월17일,1201.9,1181.02,1185.05,1198.49,1177.68,1151.74,1173.68,1189.87,1205.81,1172.8,1193.92,1176.04,1178.51,1184.3,1183.66,1213.55,NaN,1185.5012499999998
